$Trinity Lake updated withdrawals year 2016 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
39.625,3.3249387,0.0283
39.667,34.3944333,0.0283
39.708,35.8731083,0.0283
39.75,35.8825888,0.0283
39.792,35.8446951,0.0283
39.833,34.341201,0.0283
39.875,1.8211616,0.0283
39.917,0.0283,0.0283
39.958,0.0283,0.0283
40,0.0283,0.0283
40.042,0.0283,0.0283
40.083,0.0283,0.0283
40.125,0.0283,0.0283
40.167,0.0283,0.0283
40.208,0.0283,0.0283
40.25,0.0283,0.0283
40.292,0.0283,0.0283
40.333,0.0283,0.0283
40.375,0.0283,0.0283
40.417,0.0283,0.0283
40.458,0.0283,0.0283
40.5,0.0283,0.0283
40.542,0.0283,0.0283
40.583,0.0283,0.0283
40.625,0.0283,0.0283
40.667,0.0283,0.0283
40.708,0.0283,0.0283
40.75,0.0283,0.0283
40.792,0.0283,0.0283
40.833,0.0283,0.0283
40.875,0.0283,0.0283
40.917,0.0283,0.0283
40.958,0.0283,0.0283
41,0.0283,0.0283
41.042,0.0283,0.0283
41.083,0.0283,0.0283
41.125,0.0283,0.0283
41.167,0.0283,0.0283
41.208,0.0283,0.0283
41.25,0.0283,0.0283
