$Trinity Lake spillway release year 2016 YC 08/25/22,
",,,",
Jday,TRN / Spill Flow / Spill Release - cms
55.542,0.0283
55.583,0.0283
55.625,0.0283
55.667,0.0283
55.708,0.0283
55.75,0.0283
55.792,0.0283
55.833,0.0283
55.875,0.0283
55.917,0.0283
55.958,0.0283
56,0.0283
56.042,0.0283
56.083,0.0283
56.125,0.0283
56.167,0.0283
56.208,0.0283
56.25,0.0283
56.292,0.0283
56.333,0.0283
56.375,0.0283
56.417,0.0283
56.458,0.0283
56.5,0.0283
56.542,0.0283
56.583,0.0283
56.625,0.0283
56.667,0.0283
56.708,0.0283
56.75,0.0283
56.792,0.0283
56.833,0.0283
56.875,0.0283
56.917,0.0283
56.958,0.0283
57,0.0283
57.042,0.0283
57.083,0.0283
57.125,0.0283
57.167,0.0283
57.208,0.0283
57.25,0.0283
57.292,0.0283
57.333,0.0283
57.375,0.0283
57.417,0.0283
57.458,0.0283
57.5,0.0283
57.542,0.0283
57.583,0.0283
57.625,0.0283
57.667,0.0283
57.708,0.0283
57.75,0.0283
57.792,0.0283
57.833,0.0283
57.875,0.0283
57.917,0.0283
57.958,0.0283
58,0.0283
58.042,0.0283
58.083,0.0283
58.125,0.0283
58.167,0.0283
58.208,0.0283
58.25,0.0283
58.292,0.0283
58.333,0.0283
58.375,0.0283
58.417,0.0283
58.458,0.0283
58.5,0.0283
58.542,0.0283
58.583,0.0283
58.625,0.0283
58.667,0.0283
58.708,0.0283
58.75,0.0283
58.792,0.0283
58.833,0.0283
58.875,0.0283
58.917,0.0283
58.958,0.0283
59,0.0283
59.042,0.0283
59.083,0.0283
59.125,0.0283
59.167,0.0283
59.208,0.0283
59.25,0.0283
59.292,0.0283
59.333,0.0283
59.375,0.0283
59.417,0.0283
59.458,0.0283
59.5,0.0283
59.542,0.0283
59.583,0.0283
59.625,0.0283
59.667,0.0283
59.708,0.0283
59.75,0.0283
59.792,0.0283
59.833,0.0283
59.875,0.0283
59.917,0.0283
59.958,0.0283
60,0.0283
60.042,0.0283
60.083,0.0283
60.125,0.0283
60.167,0.0283
60.208,0.0283
60.25,0.0283
60.292,0.0283
60.333,0.0283
60.375,0.0283
60.417,0.0283
60.458,0.0283
60.5,0.0283
60.542,0.0283
60.583,0.0283
60.625,0.0283
60.667,0.0283
60.708,0.0283
60.75,0.0283
60.792,0.0283
60.833,0.0283
60.875,0.0283
