$Trinity Lake qdt year 2016 YC 08/25/22,
",,,",
JDAY,qdt
28,10.80610475
28.042,21.42710475
28.083,-12.31289525
28.125,-3.697895246
28.167,20.35610475
28.208,19.97810475
28.25,10.60810475
28.292,27.39210475
28.333,0.798104754
28.375,5.574104754
28.417,14.77910475
28.458,35.81110475
28.5,77.88810475
28.542,31.48110475
28.583,-30.30889525
28.625,27.98310475
28.667,72.22910475
28.708,42.67610475
28.75,40.67910475
28.792,55.68510475
28.833,0.91810475
28.875,6.94210475
28.917,51.25810475
28.958,61.02110475
29,-27.96238905
29.042,-99.41538905
29.083,-112.8243891
29.125,-21.8653891
29.167,40.99061095
29.208,59.81061095
29.25,-19.46938905
29.292,41.83661095
29.333,-4.04338905
29.375,66.64561095
29.417,94.80161095
29.458,198.273611
29.5,187.8896109
29.542,178.174611
29.583,54.6346109
29.625,99.91361095
29.667,189.3246109
29.708,159.0056109
29.75,174.8096109
29.792,211.9816109
29.833,38.41161095
29.875,114.3526109
29.917,140.482611
29.958,127.3566109
30,139.0274895
30.042,102.6334894
30.083,-21.37751055
30.125,94.74948945
30.167,108.5114895
30.208,105.4884895
30.25,146.6214894
30.292,51.95448945
30.333,37.68948945
30.375,96.53948945
30.417,0.143489447
30.458,142.7984895
30.5,-17.71251055
30.542,124.4014895
30.583,-4.09051055
30.625,-2.33751055
30.667,101.1674895
30.708,0.143489447
30.75,44.64948945
30.792,22.47048945
30.833,-7.24451055
30.875,49.54348945
30.917,23.31148945
30.958,-10.74351055
31,107.2774042
31.042,-0.440595817
31.083,93.46540418
31.125,41.32240418
31.167,56.52140418
31.208,125.7894042
31.25,-41.64559582
31.292,26.96540418
31.333,92.19840418
31.375,-13.73559582
31.417,47.11640418
31.458,97.52140418
31.5,64.01840418
31.542,-0.87259582
31.583,-0.27759582
31.625,69.79040418
31.667,-0.440595817
31.708,-9.422595817
31.75,67.06540418
31.792,68.20640418
31.833,25.88540418
31.875,-16.09459582
31.917,-54.68359582
31.958,97.40640418
32,54.29005438
32.042,-4.51694562
32.083,2.23805438
32.125,10.40305438
32.167,66.89405438
32.208,72.16605438
32.25,-50.43794562
32.292,120.0230544
32.333,3.71805438
32.375,21.45505438
32.417,2.17305438
32.458,82.76105438
32.5,54.31405438
32.542,-26.54094562
32.583,30.74305438
32.625,42.91405438
32.667,59.87505438
32.708,46.71305438
32.75,-29.40494562
32.792,0.218054383
32.833,58.07905438
32.875,53.02705438
32.917,-10.75694562
32.958,0.218054383
33,0.314377708
33.042,20.24537771
33.083,0.314377708
33.125,45.18837771
33.167,105.7533777
33.208,47.20537771
33.25,-0.59662229
33.292,23.09937771
33.333,22.75837771
33.375,17.05437771
33.417,22.22237771
33.458,24.25237771
33.5,29.30537771
33.542,33.66637771
33.583,-5.666622292
33.625,16.24337771
33.667,32.23237771
33.708,39.39737771
33.75,0.314377708
33.792,0.314377708
33.833,-2.963622292
33.875,53.54037771
33.917,0.314377708
33.958,15.00837771
34,43.11473102
34.042,39.19173102
34.083,10.47273102
34.125,18.64573102
34.167,55.17573102
34.208,-1.458268983
34.25,-0.495268983
34.292,-0.495268983
34.333,28.41173102
34.375,20.79473102
34.417,49.52373102
34.458,-32.77626898
34.5,-0.495268983
34.542,39.89273102
34.583,34.72573102
34.625,10.17173102
34.667,59.21073102
34.708,-13.20426898
34.75,0.726731017
34.792,-0.495268983
34.833,54.63473102
34.875,44.70673102
34.917,31.24773102
34.958,40.18873102
35,-7.43151406
35.042,0.09948594
35.083,12.41348594
35.125,33.45948594
35.167,-0.57551406
35.208,0.09948594
35.25,38.28948594
35.292,72.37348594
35.333,-16.94651406
35.375,0.09948594
35.417,16.18748594
35.458,-5.68951406
35.5,0.09948594
35.542,64.09248594
35.583,-4.80651406
35.625,0.09948594
35.667,43.24148594
35.708,-3.15951406
35.75,-25.16851406
35.792,8.82348594
35.833,32.53748594
35.875,68.80448594
35.917,-5.20651406
35.958,0.09948594
36,50.34730209
36.042,-0.065697908
36.083,-0.065697908
36.125,16.97230209
36.167,-0.169697908
36.208,-0.065697908
36.25,72.47730209
36.292,-3.118697908
36.333,-0.065697908
36.375,-49.40369791
36.417,21.26430209
36.458,87.72330209
36.5,-12.76869791
36.542,-0.065697908
36.583,25.20530209
36.625,-11.37369791
36.667,-0.065697908
36.708,19.84730209
36.75,-21.72569791
36.792,23.21730209
36.833,14.71230209
36.875,-1.635697908
36.917,-0.065697908
36.958,78.80930209
37,-8.335355082
37.042,0.481644918
37.083,-34.96435508
37.125,30.70564492
37.167,89.99164492
37.208,-7.539355082
37.25,0.481644918
