 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   15.2204,      8.16,      0.73,    327.66,
   15.2618,      8.16,      6.12,    327.66,
   15.3031,      8.15,      8.79,    327.66,
   15.3454,      8.15,      5.12,    327.66,
   15.3868,      8.15,      6.10,    327.66,
   15.4288,      8.15,     20.12,    327.66,
   15.4704,      8.15,     16.60,    327.66,
   15.5118,      8.16,     16.88,    327.66,
   15.5538,      8.16,     17.10,    327.66,
   15.5954,      8.16,     17.02,    327.66,
   15.6368,      8.16,     14.61,    327.66,
   15.6788,      8.17,     12.10,    327.66,
   15.7204,      8.17,     20.78,    327.66,
   15.7619,      8.19,    114.80,    327.66,
   15.8036,      8.18,     78.31,    327.66,
   15.8456,      8.18,     49.82,    327.66,
   15.8873,      8.18,      9.55,    327.66,
   15.9288,      8.18,     11.06,    327.66,
   15.9708,      8.18,     12.66,    327.66,
   16.0126,      8.18,     10.59,    327.66,
   16.0538,      8.17,     10.19,    327.66,
   16.0955,      8.17,     16.59,    327.66,
   16.1375,      8.17,      9.59,    327.66,
   16.1788,      8.17,      6.35,    327.66,
   16.2205,      8.16,      1.92,    327.66,
   16.2625,      8.16,      1.72,    327.66,
   16.3045,      8.16,      0.52,    327.66,
   16.3463,      8.15,      2.07,    327.66,
   16.3875,      8.15,      1.28,    327.66,
   16.4295,      8.15,      4.50,    327.66,
   16.4713,      8.15,      8.34,    327.66,
   16.5125,      8.15,      1.94,    327.66,
   16.5545,      8.15,      1.39,    327.66,
   16.5964,      8.15,      3.24,    327.66,
   16.6380,      8.15,      2.16,    327.66,
   16.6795,      8.14,      2.20,    327.66,
   16.7214,      8.14,      3.19,    327.66,
   16.7629,      8.14,      2.45,    327.66,
   16.8045,      8.15,     12.11,    327.66,
   16.8465,      8.13,     10.58,    327.66,
   16.8879,      8.13,      4.27,    327.66,
   16.9295,      8.13,     11.98,    327.66,
   16.9715,      8.13,     11.39,    327.66,
   17.0129,      8.12,     10.41,    327.66,
   17.0546,      8.12,      5.29,    327.66,
   17.0966,      8.12,      8.70,    327.66,
   17.1384,      8.12,     13.40,    327.66,
   17.1800,      8.12,     11.07,    327.66,
   17.2216,      8.12,      2.21,    327.66,
   17.2633,      8.12,      0.40,    327.66,
   17.3049,      8.12,      0.56,    327.66,
   17.3467,      8.12,      2.28,    327.66,
   17.3882,      8.12,      1.82,    327.66,
   17.4299,      8.12,      2.72,    327.66,
   17.4716,      8.14,     16.25,    327.66,
   17.5134,      8.14,     16.85,    327.66,
   17.5552,      8.14,     16.82,    327.66,
   17.5967,      8.14,     16.87,    327.66,
   17.6386,      8.14,     18.42,    327.66,
   17.6802,      8.14,     24.05,    327.66,
   17.7218,      8.14,     40.32,    327.66,
   17.7637,      8.14,     52.65,    327.66,
   17.8056,      8.14,     45.65,    327.66,
   17.8471,      8.14,     42.69,    327.66,
   17.8886,      8.13,     52.43,    327.66,
   17.9303,      8.13,     42.48,    327.66,
   17.9723,      8.13,     41.89,    327.66,
   18.0137,      8.13,     22.45,    327.66,
   18.0555,      8.11,      2.32,    327.66,
   18.0975,      8.11,      1.80,    327.66,
   18.1391,      8.10,      2.79,    327.66,
   18.1805,      8.11,     15.22,    327.66,
   18.2221,      8.11,     15.35,    327.66,
   18.2641,      8.10,     12.48,    327.66,
   18.3060,      8.12,     44.30,    327.66,
   18.3472,      8.11,     48.16,    327.66,
   18.3894,      8.10,     35.41,    327.66,
   18.4309,      8.09,     18.61,    327.66,
   18.4724,      8.09,     19.37,    327.66,
   18.5140,      8.08,     18.07,    327.66,
   18.5561,      8.08,     17.68,    327.66,
   18.5977,      8.09,     27.36,    327.66,
   18.6393,      8.09,     28.03,    327.66,
   18.6813,      8.09,     24.38,    327.66,
   18.7227,      8.09,     27.26,    327.66,
   18.7645,      8.09,     27.48,    327.66,
   18.8061,      8.09,     24.96,    327.66,
   18.8476,      8.09,     24.63,    327.66,
   18.8896,      8.09,     24.94,    327.66,
   18.9315,      8.09,     22.08,    327.66,
   18.9728,      8.09,     27.34,    327.66,
   19.0148,      8.09,     27.86,    327.66,
   19.0564,      8.09,     15.36,    327.66,
   19.0979,      8.09,     13.29,    327.66,
   19.1398,      8.09,      2.29,    327.66,
   19.1816,      8.09,     10.97,    327.66,
   19.2231,      8.09,     17.48,    327.66,
   19.2650,      8.10,     19.00,    327.66,
   19.3066,      8.10,     18.86,    327.66,
   19.3482,      8.09,      7.53,    327.66,
   19.3901,      8.10,     15.57,    327.66,
   19.4318,      8.10,     17.40,    327.66,
   19.4734,      8.11,     37.86,    327.66,
   19.5151,      8.10,     14.71,    327.66,
   19.5566,      8.10,     13.63,    327.66,
