 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    6.1297,      8.43,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.1712,      8.43,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.2127,      8.43,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.2546,      8.42,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.2964,      8.42,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.3377,      8.42,    -99.00,    -99.00,      5.74,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.3796,      8.42,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.4212,      8.42,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.4629,      8.42,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.5049,      8.42,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.5462,      8.42,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.5880,      8.42,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.6299,      8.42,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.6719,      8.41,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.7129,      8.41,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.7547,      8.40,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.7965,      8.40,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.8380,      8.40,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.8798,      8.39,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.9218,      8.39,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    6.9632,      8.39,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.0050,      8.38,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.0467,      8.38,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.0884,      8.38,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.1306,      8.37,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.1719,      8.37,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.2133,      8.37,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.2556,      8.37,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.2969,      8.36,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.3390,      8.36,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.3806,      8.36,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.4219,      8.36,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.4641,      8.36,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.5056,      8.36,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.5476,      8.36,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.5891,      8.36,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.6306,      8.36,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.6726,      8.35,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.7142,      8.35,    -99.00,    -99.00,      5.77,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.7555,      8.35,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.7974,      8.35,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.8389,      8.35,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.8806,      8.35,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.9226,      8.35,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    7.9639,      8.35,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.0063,      8.35,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.0476,      8.35,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.0895,      8.35,    -99.00,    -99.00,      5.77,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.1313,      8.34,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.1726,      8.34,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.2145,      8.34,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.2563,      8.34,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.2976,      8.34,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.3392,      8.33,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.3812,      8.33,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.4229,      8.33,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.4647,      8.32,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.5064,      8.32,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.5478,      8.31,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.5899,      8.30,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.6312,      8.29,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.6728,      8.28,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.7149,      8.27,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.7568,      8.26,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.7983,      8.25,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.8399,      8.24,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.8820,      8.23,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.9233,      8.23,    -99.00,    -99.00,      5.77,      0.00,      0.00,    301.90,    340.05,    368.81,
    8.9649,      8.22,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.0070,      8.21,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.0483,      8.20,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
