$Combined output for files: 1, 2, 3, 4, 5, 6

JDAY,TEMP-AIR,TEMP-DEWPOINT,Speed-Wind,DIR-WIND-RADIANS,%-CLOUD COVER,IRRAD-SOLAR
13.792,3.79,1.83,6.00,3.07,3.17,0.00
13.833,3.79,2.30,5.00,3.07,3.33,0.00
13.875,3.24,1.76,4.00,4.38,3.50,0.00
13.917,1.57,1.00,3.00,5.78,3.67,0.00
13.958,1.01,0.45,4.00,5.34,3.83,0.00
14.000,0.46,0.18,3.00,5.59,4.00,0.00
14.042,-0.10,-0.22,2.00,5.43,3.83,0.00
14.083,-0.10,-0.11,3.00,5.52,3.67,0.00
14.125,-0.10,-0.11,3.00,5.81,3.50,0.00
14.167,-0.10,-0.11,4.00,5.62,3.33,0.00
14.208,0.46,0.45,6.00,5.65,3.17,0.00
14.250,0.46,0.45,3.00,6.25,3.00,0.00
14.292,-0.10,-0.22,4.00,6.04,2.83,0.00
14.333,0.46,0.32,5.00,5.62,2.67,6.04
14.375,0.46,0.32,5.00,5.65,2.50,21.97
14.417,1.01,0.87,2.00,5.69,2.33,21.97
14.458,1.57,1.56,6.00,5.72,2.17,16.04
14.500,2.12,2.11,5.00,5.88,2.00,16.04
14.542,2.12,2.11,3.00,5.78,1.83,11.04
14.583,2.12,2.11,0.00,1.01,1.67,6.97
14.625,2.12,2.11,3.00,6.06,1.50,3.02
14.667,1.57,1.56,5.00,5.74,1.33,1.98
14.708,1.57,1.56,0.00,0.31,1.17,0.00
14.750,1.57,1.56,3.00,6.04,1.00,0.00
14.792,1.57,1.56,1.00,6.04,0.83,0.00
14.833,1.57,1.56,4.00,6.04,0.67,0.00
14.875,2.12,2.11,4.00,6.04,0.50,0.00
14.917,2.12,2.11,2.00,6.04,0.33,0.00
14.958,1.57,1.56,0.00,6.04,0.17,0.00
15.000,1.57,1.56,1.00,6.04,0.00,0.00
15.042,1.57,1.56,2.00,6.04,0.00,0.00
15.083,1.57,1.56,1.00,6.04,0.00,0.00
15.125,1.57,1.56,1.00,6.04,0.00,0.00
15.167,1.57,1.56,1.00,6.04,0.00,0.00
15.208,1.01,1.00,4.00,6.04,0.00,0.00
15.250,1.01,1.00,2.00,6.04,0.00,0.00
15.292,0.46,0.45,0.00,6.04,0.00,0.00
15.333,1.01,1.00,3.00,6.04,0.00,1.98
15.375,1.57,1.43,6.00,6.06,0.00,14.99
15.417,2.12,1.84,4.00,6.06,0.00,59.97
15.458,4.90,3.56,0.00,6.11,0.00,255.92
15.500,2.68,2.11,0.00,5.97,0.00,299.85
15.542,6.01,3.68,0.00,2.93,0.00,310.89
15.583,3.24,2.52,3.00,5.62,0.00,212.92
15.625,4.35,3.17,1.00,1.12,0.00,167.94
15.667,2.68,2.54,3.00,5.83,0.00,53.00
15.708,2.12,2.11,6.00,5.57,0.00,5.00
15.750,2.12,2.11,7.00,5.46,0.00,0.00
15.792,2.12,2.11,6.00,5.41,0.00,0.00
15.833,2.12,2.11,4.00,5.46,0.00,0.00
15.875,2.12,2.11,5.00,5.92,0.00,0.00
15.917,2.12,2.11,6.00,5.74,0.00,0.00
15.958,1.57,1.56,6.00,5.69,0.00,0.00
16.000,1.57,1.56,7.00,5.50,0.00,0.00
16.042,1.57,1.56,6.00,6.00,0.13,0.00
16.083,2.12,2.11,5.00,5.72,0.25,0.00
16.125,1.57,1.56,6.00,5.59,0.38,0.00
16.167,1.57,1.56,5.00,5.62,0.50,0.00
16.208,1.57,1.56,6.00,5.60,0.63,0.00
16.250,1.57,1.56,8.00,5.64,0.75,0.00
16.292,1.85,1.84,6.00,5.56,0.88,0.99
16.333,2.12,2.11,4.00,5.48,1.00,1.98
16.375,2.12,2.11,5.00,5.38,1.13,18.01
16.417,2.68,2.67,3.00,2.95,1.25,38.93
16.458,5.46,5.17,6.00,5.90,1.38,218.96
16.500,4.90,4.76,3.00,5.31,1.50,165.97
16.542,6.01,5.42,6.00,2.13,1.63,278.93
16.583,5.46,5.02,5.00,5.60,1.75,274.87
16.625,6.57,6.28,6.00,1.99,1.88,157.95
16.667,4.90,4.76,5.00,5.74,2.00,97.98
16.708,4.90,4.89,3.00,5.60,2.13,10.00
16.750,4.90,4.89,5.00,5.60,2.25,0.00
16.792,5.46,5.45,5.00,5.67,2.38,0.00
16.833,4.90,4.89,7.00,5.60,2.50,0.00
16.875,4.90,4.89,7.00,5.62,2.63,0.00
16.917,5.46,5.45,4.00,5.57,2.75,0.00
16.958,4.90,4.89,5.00,5.52,0.00,0.00
17.000,5.46,5.45,5.00,5.62,3.00,0.00
17.042,4.90,4.89,5.00,5.53,2.88,0.00
17.083,6.01,6.00,5.00,5.57,2.75,0.00
17.125,5.46,5.45,5.00,5.67,2.63,0.00
17.167,6.01,6.00,6.00,5.62,2.50,0.00
17.208,7.12,7.11,3.00,2.81,2.38,0.00
17.250,7.68,7.67,3.00,2.44,2.25,0.00
17.292,7.68,7.67,4.00,2.36,2.13,0.00
17.333,7.68,7.67,4.00,5.34,2.00,1.98
17.375,8.24,8.23,3.00,3.51,1.88,6.97
17.417,8.24,8.23,2.00,5.86,1.75,11.04
17.458,8.79,8.78,4.00,2.48,1.63,11.97
17.500,8.24,8.23,3.00,5.46,1.50,33.01
17.542,8.79,8.78,9.00,2.67,1.38,39.98
17.583,8.79,8.64,8.00,2.86,1.25,21.04
17.625,8.79,8.78,4.00,3.58,1.13,6.97
17.667,8.79,8.03,3.00,2.16,1.00,13.02
17.708,8.79,8.78,3.00,2.76,0.88,1.05
17.750,8.79,8.78,4.00,3.21,0.75,0.00
17.792,8.24,8.23,6.00,2.72,0.63,0.00
17.833,8.24,7.94,7.00,2.48,0.50,0.00
17.875,7.68,7.53,5.00,2.51,0.38,0.00
17.917,7.68,7.38,7.00,2.58,0.25,0.00
17.958,7.68,6.93,4.00,3.21,5.88,0.00
18.000,7.12,6.83,2.00,3.42,0.00,0.00
18.042,6.57,6.56,2.00,5.20,0.00,0.00
18.083,6.01,6.00,4.00,5.36,0.00,0.00
18.125,5.46,5.45,6.00,5.62,0.00,0.00
18.167,4.90,4.89,4.00,5.76,0.00,0.00
18.208,4.90,4.89,2.00,5.65,0.00,0.00
18.250,4.35,4.34,3.00,5.90,0.00,0.00
18.292,3.79,3.78,2.00,6.16,0.00,0.00
18.333,3.79,3.78,3.00,6.06,0.00,8.02
18.375,3.79,3.78,6.00,6.02,0.00,102.97
18.417,6.01,6.00,1.00,6.07,0.00,189.91
18.458,8.24,8.09,0.00,2.25,0.00,245.93
18.500,9.35,8.59,3.00,0.56,0.00,381.91
18.542,9.35,6.96,6.00,2.13,0.00,306.94
18.583,9.35,6.61,6.00,2.08,0.00,212.92
18.625,8.79,6.24,5.00,2.58,0.00,49.05
18.667,8.24,7.02,4.00,2.67,0.00,16.04
18.708,7.12,7.11,3.00,4.96,0.00,1.05
18.750,7.12,7.11,3.00,5.64,0.00,0.00
18.792,6.57,6.56,1.00,2.72,0.00,0.00
18.833,6.01,6.00,3.00,5.67,0.00,0.00
18.875,5.46,5.45,3.00,5.60,0.00,0.00
18.917,5.46,5.45,2.00,5.32,0.00,0.00
18.958,5.46,5.45,3.00,5.22,-2.88,0.00
19.000,6.01,6.00,1.00,5.55,0.00,0.00
19.042,6.01,6.00,3.00,5.83,0.00,0.00
19.083,6.01,6.00,2.00,5.52,0.00,0.00
19.125,7.12,7.11,3.00,2.90,0.00,0.00
19.167,6.57,6.56,4.00,5.62,0.00,0.00
19.208,6.57,6.56,1.00,5.50,0.00,0.00
19.250,6.57,6.56,4.00,5.50,0.00,0.00
19.292,6.57,6.56,6.00,5.71,0.00,0.00
19.333,6.57,6.56,4.00,5.38,0.00,1.05
19.375,6.57,6.56,5.00,5.65,0.00,8.02
19.417,7.12,7.11,3.00,5.86,0.00,23.01
19.458,7.68,7.67,10.00,5.43,0.00,97.98
19.500,9.35,9.34,6.00,2.27,0.00,222.91
19.542,12.68,10.57,8.00,3.63,0.00,376.91
19.583,12.12,7.63,6.00,4.10,0.00,377.84
19.625,9.90,5.87,7.00,3.79,0.00,180.96
19.667,8.79,5.54,8.00,4.01,0.00,66.01
19.708,7.68,3.91,8.00,3.72,0.00,13.95
19.750,7.68,3.91,8.00,3.79,0.00,0.00
19.792,6.57,3.90,8.00,4.07,0.00,0.00
19.833,6.01,3.85,4.00,3.61,0.00,0.00
19.875,6.01,2.65,5.00,3.07,0.00,0.00
19.917,6.01,2.47,12.00,3.74,0.00,0.00
19.958,6.01,2.83,5.00,2.76,0.00,0.00
20.000,4.90,2.76,6.00,2.37,0.00,0.00
20.042,5.46,2.64,6.00,2.58,0.00,0.00
20.083,4.90,2.26,3.00,3.54,0.00,0.00
20.125,3.79,2.61,4.00,5.38,0.00,0.00
20.167,3.79,2.92,4.00,5.65,0.00,0.00
20.208,2.68,2.11,5.00,5.55,0.00,0.00
20.250,3.24,2.67,1.00,5.83,0.00,0.00
20.292,3.24,2.22,4.00,5.71,0.00,0.00
20.333,2.68,1.96,5.00,5.59,0.00,28.94
20.375,4.90,2.60,4.00,5.65,0.00,199.90
20.417,4.90,3.08,5.00,5.85,0.00,213.97
20.458,7.12,3.55,5.00,5.88,0.00,352.85
20.500,8.24,4.27,7.00,5.74,0.00,226.87
20.542,7.68,4.81,4.00,5.74,0.00,104.02
20.583,8.24,5.87,5.00,6.13,0.00,119.01
20.625,8.79,6.41,5.00,5.97,0.00,110.99
20.667,8.24,6.37,6.00,5.95,0.00,56.95
20.708,7.68,5.82,6.00,5.92,0.00,6.04
20.750,7.12,5.11,6.00,5.71,0.00,0.00
20.792,6.57,5.37,6.00,5.76,0.00,0.00
20.833,6.57,4.89,5.00,5.76,0.00,0.00
20.875,6.57,4.73,5.00,5.71,0.00,0.00
20.917,6.57,4.07,4.00,5.53,0.00,0.00
20.958,6.01,3.85,6.00,5.59,0.00,0.00
21.000,6.01,3.85,5.00,5.52,0.00,0.00
21.042,6.01,4.01,6.00,5.52,0.00,0.00
