$STR WITHDRAWAL AT SEG52                                     ELEV OF WITHDRAWAL CENTERLINE:722.     

JDAY,QWD(m3s-1)
    81.939,    0.0000
    81.984,    0.0000
    82.025,    0.0000
    82.065,    0.0000
    82.108,    0.0000
    82.148,    0.0000
    82.192,    0.0000
    82.236,    0.0000
    82.280,    0.0000
    82.316,    0.0000
    82.357,    0.0000
    82.400,    0.0000
    82.447,    0.0000
    82.481,    0.0000
    82.522,    0.0000
    82.568,    0.0000
    82.607,    0.0000
    82.651,    0.0000
    82.688,    0.0000
    82.733,    0.0000
    82.778,    0.0000
    82.816,    0.0000
    82.858,    0.0000
    82.901,    0.0000
    82.943,    0.0000
    82.983,    0.0000
    83.024,    0.0000
    83.066,    0.0000
    83.107,    0.0000
    83.151,    0.0000
    83.194,    0.0000
    83.230,    0.0000
    83.274,    0.0000
    83.318,    0.0000
    83.360,    0.0000
    83.404,    0.0000
    83.447,    0.0000
    83.485,    0.0000
    83.526,    0.0000
    83.563,    0.0000
    83.614,    0.0000
    83.646,    0.0000
    83.689,    0.0000
    83.731,    0.0000
    83.780,    0.0000
    83.819,    0.0000
    83.864,    0.0000
    83.898,    0.0000
    83.942,    0.0000
    83.987,    0.0000
    84.025,    0.0000
    84.065,    0.0000
    84.116,    0.0000
    84.148,    0.0000
    84.190,    0.0000
    84.232,    0.0000
    84.274,    0.0000
    84.316,    0.0000
    84.357,    0.0000
    84.399,    0.0000
    84.442,    0.0000
    84.485,    0.0000
    84.529,    0.0000
    84.564,    0.0000
    84.606,    0.0000
    84.652,    0.0000
    84.694,    0.0000
    84.737,    0.0000
    84.780,    0.0000
    84.814,    0.0000
    84.861,    0.0000
    84.904,    0.0000
    84.938,    0.0000
    84.982,    0.0000
    85.024,    0.0000
    85.067,    0.0000
    85.111,    0.0000
    85.153,    0.0000
    85.199,    0.0000
    85.235,    0.0000
    85.271,    0.0000
    85.317,    0.0000
    85.362,    0.0000
    85.399,    0.0000
    85.440,    0.0000
    85.487,    0.0000
    85.528,    0.0000
    85.563,    0.0000
    85.607,    0.0000
    85.647,    0.0000
    85.693,    0.0000
    85.731,    0.0000
    85.774,    0.0000
    85.814,    0.0000
    85.858,    0.0000
    85.896,    0.0000
    85.944,    0.0000
    85.987,    0.0000
    86.029,    0.0000
    86.071,    0.0000
    86.112,    0.0000
    86.154,    0.0000
    86.196,    0.0000
    86.237,    0.0000
    86.280,    0.0000
    86.325,    0.0000
    86.360,    0.0000
    86.404,    0.0000
    86.442,    0.0000
    86.488,    0.0000
    86.528,    0.0000
    86.566,    0.0000
    86.612,    0.0000
    86.652,    0.0000
    86.693,    0.0000
    86.735,    0.0000
    86.778,    0.0000
    86.821,    0.0000
    86.862,    0.0000
    86.906,    0.0000
    86.942,    0.0000
    86.981,    0.0000
    87.031,    0.0000
    87.065,    0.0000
    87.111,    0.0000
    87.152,    0.0000
    87.190,    0.0000
    87.232,    0.0000
    87.274,    0.0000
    87.316,    0.0000
    87.357,    0.0000
    87.400,    0.0000
    87.442,    0.0000
    87.481,    0.0000
    87.523,    0.0000
    87.563,    0.0000
    87.613,    0.0000
    87.651,    0.0000
    87.696,    0.0000
    87.735,    0.0000
    87.777,    0.0000
    87.818,    0.0000
    87.860,    0.0000
    87.902,    0.0000
    87.944,    0.0000
    87.986,    0.0000
    88.029,    0.0000
    88.072,    0.0000
    88.109,    0.0000
    88.153,    0.0000
    88.195,    0.0000
    88.236,    0.0000
    88.281,    0.0000
    88.316,    0.0000
    88.357,    0.0000
    88.400,    0.0000
    88.445,    0.0000
    88.484,    0.0000
    88.525,    0.0000
    88.566,    0.0000
    88.609,    0.0000
    88.651,    0.0000
    88.692,    0.0000
    88.730,    0.0000
    88.771,    0.0000
    88.815,    0.0000
    88.859,    0.0000
    88.898,    0.0000
    88.942,    0.0000
    88.986,    0.0000
    89.021,    0.0000
    89.065,    0.0000
    89.105,    0.0000
    89.146,    0.0000
    89.188,    0.0000
    89.230,    0.0000
    89.275,    0.0000
    89.313,    0.0000
    89.356,    0.0000
    89.402,    0.0000
    89.440,    0.0000
    89.482,    0.0000
    89.521,    0.0000
    89.563,    0.0000
    89.610,    0.0000
    89.652,    0.0000
    89.691,    0.0000
