$Temperature file for segment 52
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    78.313,    7.09,          -99.00,
    78.359,    7.09,          -99.00,
    78.404,    7.09,          -99.00,
    78.438,    7.09,          -99.00,
    78.483,    7.09,          -99.00,
    78.523,    7.09,          -99.00,
    78.563,    7.08,          -99.00,
    78.609,    7.08,          -99.00,
    78.655,    7.08,          -99.00,
    78.691,    7.08,          -99.00,
    78.739,    7.08,          -99.00,
    78.772,    7.07,          -99.00,
    78.815,    7.07,          -99.00,
    78.857,    7.07,          -99.00,
    78.899,    7.07,          -99.00,
    78.942,    7.07,          -99.00,
    78.981,    7.07,          -99.00,
    79.023,    7.07,          -99.00,
    79.064,    7.07,          -99.00,
    79.105,    7.07,          -99.00,
    79.149,    7.07,          -99.00,
    79.189,    7.07,          -99.00,
    79.230,    7.07,          -99.00,
    79.274,    7.07,          -99.00,
    79.322,    7.07,          -99.00,
    79.357,    7.07,          -99.00,
    79.397,    7.07,          -99.00,
    79.442,    7.07,          -99.00,
    79.482,    7.07,          -99.00,
    79.522,    7.07,          -99.00,
    79.566,    7.07,          -99.00,
    79.606,    7.07,          -99.00,
    79.653,    7.07,          -99.00,
    79.694,    7.07,          -99.00,
    79.738,    7.08,          -99.00,
    79.773,    7.08,          -99.00,
    79.813,    7.08,          -99.00,
    79.858,    7.08,          -99.00,
    79.902,    7.08,          -99.00,
    79.940,    7.08,          -99.00,
    79.980,    7.08,          -99.00,
    80.021,    7.08,          -99.00,
    80.064,    7.08,          -99.00,
    80.105,    7.08,          -99.00,
    80.149,    7.08,          -99.00,
    80.189,    7.08,          -99.00,
    80.239,    7.08,          -99.00,
    80.277,    7.09,          -99.00,
    80.321,    7.08,          -99.00,
    80.361,    7.08,          -99.00,
    80.404,    7.08,          -99.00,
    80.445,    7.08,          -99.00,
    80.486,    7.08,          -99.00,
    80.529,    7.08,          -99.00,
    80.573,    7.08,          -99.00,
    80.614,    7.08,          -99.00,
    80.646,    7.08,          -99.00,
    80.692,    7.08,          -99.00,
    80.737,    7.08,          -99.00,
    80.772,    7.08,          -99.00,
    80.820,    7.08,          -99.00,
    80.855,    7.08,          -99.00,
    80.903,    7.08,          -99.00,
    80.943,    7.08,          -99.00,
    80.982,    7.08,          -99.00,
    81.032,    7.08,          -99.00,
    81.067,    7.08,          -99.00,
    81.108,    7.08,          -99.00,
    81.155,    7.08,          -99.00,
    81.194,    7.08,          -99.00,
    81.232,    7.09,          -99.00,
    81.276,    7.09,          -99.00,
    81.314,    7.09,          -99.00,
    81.357,    7.09,          -99.00,
    81.398,    7.09,          -99.00,
    81.440,    7.09,          -99.00,
    81.483,    7.09,          -99.00,
    81.523,    7.09,          -99.00,
    81.563,    7.10,          -99.00,
    81.606,    7.10,          -99.00,
    81.647,    7.10,          -99.00,
    81.692,    7.10,          -99.00,
    81.731,    7.10,          -99.00,
    81.771,    7.10,          -99.00,
    81.815,    7.10,          -99.00,
    81.859,    7.10,          -99.00,
    81.898,    7.09,          -99.00,
    81.939,    7.09,          -99.00,
    81.984,    7.09,          -99.00,
    82.025,    7.09,          -99.00,
    82.065,    7.09,          -99.00,
    82.108,    7.09,          -99.00,
    82.148,    7.09,          -99.00,
    82.192,    7.09,          -99.00,
    82.236,    7.09,          -99.00,
    82.280,    7.09,          -99.00,
    82.316,    7.09,          -99.00,
    82.357,    7.09,          -99.00,
    82.400,    7.10,          -99.00,
    82.447,    7.10,          -99.00,
    82.481,    7.10,          -99.00,
    82.522,    7.10,          -99.00,
    82.568,    7.10,          -99.00,
    82.607,    7.10,          -99.00,
    82.651,    7.10,          -99.00,
    82.688,    7.10,          -99.00,
    82.733,    7.10,          -99.00,
    82.778,    7.11,          -99.00,
    82.816,    7.11,          -99.00,
