$WITHDRAWAL AT SEG52                                         ELEV OF WITHDRAWAL CENTERLINE:644.     

JDAY,T(C)
    95.152,    7.04
    95.188,    7.04
    95.236,    7.04
    95.273,    7.04
    95.314,    7.04
    95.355,    7.04
    95.397,    7.04
    95.439,    7.04
    95.480,    7.04
    95.528,    7.04
    95.563,    7.04
    95.610,    7.04
    95.651,    7.04
    95.694,    7.04
    95.736,    7.05
    95.775,    7.05
    95.819,    7.05
    95.856,    7.05
    95.899,    7.05
    95.943,    7.05
    95.983,    7.05
    96.025,    7.05
    96.067,    7.05
    96.108,    7.05
    96.150,    7.05
    96.192,    7.04
    96.233,    7.05
    96.275,    7.04
    96.317,    7.04
    96.358,    7.04
    96.401,    7.04
    96.442,    7.04
    96.483,    7.04
    96.525,    7.04
    96.567,    7.04
    96.608,    7.04
    96.651,    7.04
    96.692,    7.04
    96.733,    7.04
    96.775,    7.04
    96.818,    7.04
    96.858,    7.04
    96.900,    7.04
    96.942,    7.04
    96.983,    7.04
    97.025,    7.04
    97.068,    7.04
    97.109,    7.04
    97.151,    7.04
    97.194,    7.04
    97.231,    7.04
    97.272,    7.04
    97.314,    7.04
    97.362,    7.04
    97.399,    7.04
    97.438,    7.04
    97.481,    7.04
    97.525,    7.04
    97.566,    7.04
    97.610,    7.04
    97.649,    7.04
    97.694,    7.04
    97.729,    7.04
    97.771,    7.04
    97.813,    7.05
    97.855,    7.05
    97.896,    7.05
    97.939,    7.05
    97.983,    7.05
    98.025,    7.06
    98.066,    7.06
    98.106,    7.07
    98.147,    7.07
    98.192,    7.07
    98.233,    7.07
    98.277,    7.07
    98.314,    7.07
    98.359,    7.07
    98.399,    7.08
    98.443,    7.08
    98.481,    7.08
    98.524,    7.09
    98.566,    7.09
    98.606,    7.09
    98.649,    7.10
    98.688,    7.10
    98.735,    7.11
    98.771,    7.11
    98.814,    7.11
    98.855,    7.10
    98.899,    7.10
    98.940,    7.09
    98.982,    7.08
    99.024,    7.07
    99.068,    7.06
    99.105,    7.06
    99.146,    7.05
    99.189,    7.05
    99.231,    7.04
    99.273,    7.04
    99.316,    7.04
    99.360,    7.03
    99.399,    7.03
    99.438,    7.03
    99.481,    7.03
    99.522,    7.02
    99.563,    7.02
    99.611,    7.02
    99.647,    7.02
    99.690,    7.02
    99.730,    7.02
    99.774,    7.01
    99.815,    7.01
    99.857,    7.01
    99.899,    7.01
    99.938,    7.01
    99.982,    7.01
   100.022,    7.01
   100.063,    7.01
   100.109,    7.01
   100.150,    7.01
   100.191,    7.01
   100.231,    7.01
   100.275,    7.01
   100.315,    7.01
   100.358,    7.01
   100.399,    7.01
