JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    63.129,   400.552,   708.919,     7.340,     0.000,     0.000,     0.000,     0.450,   118.542,  1204.309,     1.000,     7.328,  -173.281,     0.000,   228.599,   340.952,    28.845,    32.082,     0.000,
    63.167,   471.939,   708.920,     7.339,     0.000,     0.000,     0.000,     0.450,   118.543,  1204.309,     1.000,     7.326,  -174.171,     0.000,   228.177,   340.952,    29.067,    32.329,     0.000,
    63.217,   836.068,   708.921,     7.338,     0.000,     0.000,     0.000,     0.450,   118.544,  1204.309,     1.000,     7.324,  -174.628,     0.000,   227.760,   340.948,    29.088,    32.352,     0.000,
    63.252,   199.103,   708.922,     7.317,     0.000,     0.000,     0.004,     0.450,   118.545,  1204.309,     1.000,     7.322,  -182.519,     0.003,   225.561,   340.942,    31.518,    35.623,     0.000,
    63.292,   516.422,   708.923,     7.317,     0.000,     0.000,    11.995,     0.450,   118.546,  1204.309,     1.000,     7.320,  -166.047,    11.316,   226.875,   340.941,    29.947,    33.349,     0.000,
    63.341,   744.531,   708.924,     7.316,     0.000,     0.000,    80.730,     0.450,   118.547,  1204.309,     1.000,     7.318,   -87.395,    76.161,   230.421,   340.936,    25.541,    27.499,     0.000,
    63.383,   766.786,   708.925,     7.316,     0.000,     0.000,   123.608,     0.450,   118.548,  1204.309,     1.000,     7.317,   -44.264,   116.611,   232.060,   340.934,    25.256,    26.745,     0.000,
    63.417,   576.950,   708.925,     7.316,     0.000,     0.000,   266.492,     0.450,   118.548,  1204.309,     1.000,     7.317,   110.346,   251.408,   239.184,   340.948,    21.753,    17.544,     0.000,
    63.459,    48.615,   708.926,     7.317,     0.000,     0.000,   287.917,     0.450,   118.549,  1204.309,     1.000,     7.319,   126.298,   271.620,   237.774,   341.101,    23.751,    18.243,     0.000,
    63.504,   338.130,   708.927,     7.317,     0.000,     0.000,   381.426,     0.450,   118.550,  1204.309,     1.000,     7.321,   231.055,   359.836,   245.430,   341.335,    26.414,     6.462,     0.000,
    63.542,   294.855,   708.928,     7.317,     0.000,     0.000,   254.990,     0.450,   118.551,  1204.309,     1.000,     7.322,   108.223,   240.557,   245.169,   341.554,    29.533,     6.414,     0.000,
    63.588,   492.977,   708.929,     7.316,     0.000,     0.000,   204.141,     0.450,   118.552,  1204.309,     1.000,     7.323,    53.600,   192.586,   244.928,   341.584,    34.780,     7.549,     0.000,
    63.630,   429.247,   708.930,     7.316,     0.000,     0.000,   125.540,     0.450,   118.553,  1204.309,     1.000,     7.322,   -20.970,   118.434,   241.828,   341.501,    30.044,     9.688,     0.000,
    63.667,   691.306,   708.931,     7.316,     0.000,     0.000,   167.628,     0.450,   118.554,  1204.309,     1.000,     7.322,    26.294,   158.140,   246.496,   341.423,    31.224,     5.695,     0.000,
    63.715,   684.214,   708.932,     7.315,     0.000,     0.000,    92.622,     0.450,   118.555,  1204.309,     1.000,     7.321,   -54.132,    87.379,   242.928,   341.348,    31.447,    11.643,     0.000,
    63.761,  1001.758,   708.933,     7.315,     0.000,     0.000,     8.915,     0.450,   118.556,  1204.309,     1.000,     7.319,  -144.174,     8.411,   238.304,   341.173,    32.152,    17.563,     0.000,
    63.792,  1043.875,   708.933,     7.315,     0.000,     0.000,     1.705,     0.450,   118.556,  1204.309,     1.000,     7.317,  -152.786,     1.609,   236.471,   341.031,    31.084,    18.750,     0.000,
    63.842,   818.571,   708.935,     7.315,     0.000,     0.000,     0.000,     0.450,   118.558,  1204.309,     1.000,     7.315,  -154.267,     0.000,   233.831,   340.911,    27.162,    20.025,     0.000,
    63.879,   411.626,   708.935,     7.314,     0.000,     0.000,     0.000,     0.450,   118.558,  1204.309,     1.000,     7.313,  -159.628,     0.000,   231.689,   340.875,    27.263,    23.179,     0.000,
    63.917,   239.501,   708.936,     7.314,     0.000,     0.000,     0.000,     0.450,   118.559,  1204.309,     1.000,     7.311,  -169.420,     0.000,   227.787,   340.867,    27.190,    29.150,     0.000,
    63.965,   621.205,   708.937,     7.314,     0.000,     0.000,     0.000,     0.450,   118.560,  1204.309,     1.000,     7.309,  -176.016,     0.000,   225.802,   340.869,    29.097,    31.853,     0.000,
    64.005,   506.349,   708.938,     7.314,     0.000,     0.000,     0.000,     0.450,   118.561,  1204.309,     1.000,     7.307,  -172.791,     0.000,   227.662,   340.860,    28.689,    30.904,     0.000,
    64.042,   222.309,   708.939,     7.314,     0.000,     0.000,     0.000,     0.450,   118.562,  1204.309,     1.000,     7.306,  -169.702,     0.000,   227.662,   340.853,    27.205,    29.306,     0.000,
    64.089,   576.612,   708.940,     7.313,     0.000,     0.000,     0.000,     0.450,   118.563,  1204.309,     1.000,     7.304,  -173.571,     0.000,   225.790,   340.853,    27.930,    30.579,     0.000,
    64.135,   928.640,   708.940,     7.313,     0.000,     0.000,     0.000,     0.450,   118.563,  1204.309,     1.000,     7.301,  -175.959,     0.000,   225.790,   340.845,    29.073,    31.831,     0.000,
    64.167,  1123.654,   708.941,     7.296,     0.000,     0.000,     0.000,     0.450,   118.564,  1204.309,     1.000,     7.300,  -183.476,     0.000,   224.357,   340.838,    31.768,    35.227,     0.000,
    64.223,  1271.778,   708.942,     7.293,     0.000,     0.000,     0.000,     0.450,   118.565,  1204.309,     1.000,     7.297,  -192.191,     0.000,   222.161,   340.826,    34.501,    39.025,     0.000,
    64.265,  1261.020,   708.943,     7.291,     0.000,     0.000,     0.009,     0.450,   118.566,  1204.309,     1.000,     7.294,  -191.474,     0.008,   220.404,   340.816,    33.060,    38.011,     0.000,
    64.292,  1232.981,   708.943,     7.289,     0.000,     0.000,    22.164,     0.450,   118.566,  1204.309,     1.000,     7.293,  -166.437,    20.909,   221.622,   340.809,    31.896,    36.263,     0.000,
    64.347,  1176.851,   708.944,     7.288,     0.000,     0.000,   105.657,     0.450,   118.567,  1204.309,     1.000,     7.291,   -82.468,    99.676,   223.938,   340.801,    30.891,    34.390,     0.000,
    64.377,   203.564,   708.945,     7.289,     0.000,     0.000,   281.914,     0.450,   118.568,  1204.309,     1.000,     7.291,   116.400,   265.956,   233.655,   340.806,    22.479,    19.928,     0.000,
    64.417,   527.992,   708.945,     7.290,     0.000,     0.000,   460.739,     0.450,   118.568,  1204.309,     1.000,     7.294,   299.244,   434.659,   241.866,   341.067,    24.788,    11.426,     0.000,
